zi_baseinstrument_dev30577_sigouts0_amplitudes1_value,count,Theta,X
0.001,0.0,-3.24473137322196,0.000137123520268432
0.001,1.001001001001,-4.80985581894715,7.04067688444063e-06
0.001,2.002002002002,2.41807588484212,7.33303831650414e-06
0.001,3.003003003003,-1.36978815488636,6.69927742670442e-06
0.001,4.004004004004,-1.95255557882024,7.11011400853272e-06
0.001,5.00500500500501,-1.78847630071957,7.71518229217768e-06
0.001,6.00600600600601,0.320833705318006,7.07664685790065e-06
0.001,7.00700700700701,-0.858122964281776,6.93595028736034e-06
0.001,8.00800800800801,0.523893216896398,6.98298533826892e-06
0.001,9.00900900900901,1.34450215649001,7.29941647197005e-06
0.001,10.01001001001,-5.29219857978707,7.22517062274349e-06
0.001,11.011011011011,-4.46355282129599,6.58529262863337e-06
0.001,12.012012012012,-0.855734321842993,7.15971701345276e-06
0.001,13.013013013013,3.02117306289682,7.48841964910338e-06
0.001,14.014014014014,-0.716322568296177,7.35381152280354e-06
0.001,15.015015015015,-3.30742752383255,7.05791673871734e-06
0.001,16.016016016016,2.67924183667734,8.19426449092861e-06
0.001,17.017017017017,0.294041930192837,7.62866294419347e-06
0.001,18.018018018018,-3.74451445655493,7.0730376858979e-06
0.001,19.019019019019,1.53698131050278,7.24075876430165e-06
0.001,20.02002002002,4.57014008223648,7.56528184557423e-06
0.001,21.021021021021,-0.403174437557962,7.07885679595662e-06
0.001,22.022022022022,-8.06842164154121,7.79874583553196e-06
0.001,23.023023023023,4.15155895666682,7.99409392929382e-06
0.001,24.024024024024,2.12403327363966,7.72157988930359e-06
0.001,25.025025025025,-2.87381930108566,6.69983565204185e-06
0.001,26.026026026026,2.14103746389392,7.11982566116265e-06
0.001,27.027027027027,2.46416685612002,7.47399036102844e-06
0.001,28.028028028028,-2.95663300355018,6.99895933363739e-06
0.001,29.029029029029,-2.45859340637023,6.76593869381876e-06
0.001,30.03003003003,-4.25235783488626,6.80390441829577e-06
0.001,31.031031031031,1.37416616787193,7.74925541535383e-06
0.001,32.032032032032,2.39877324337758,7.10592681929998e-06
0.001,33.033033033033,-6.75009400838922,6.55291896538242e-06
0.001,34.034034034034,-6.54461719889239,7.14426794370932e-06
0.001,35.035035035035,-2.39714281527624,7.93162772118551e-06
0.001,36.036036036036,-1.09332288010417,6.81355781111142e-06
